항목,내용
한글명,FOCUS ESG리더스
영문명,FOCUS ESG Leaders
표준코드,KR7285690004
종목코드,285690
상장일,2017-12-13
펀드형태,수익증권형
기초지수명,KRX ESG Leaders 150
추적배수,일반 (1)
자산운용사,브이아이자산운용 주식회사
지정참가회사(AP),"하이투자증권, 삼성증권, SK증권, 신한금융투자, 한국투자증권, 미래에셋대우, 한화투자증권, 하나금융투자, 유진투자증권, NH투자증권"
총보수(%),0.1
회계기간,"투자신탁의 최초설정일부터 해당년도 12월 31일까지, 이후 회계기간은 매년 01월 01일부터 12월 31일. 단, 신탁계약 해지시에는 투자신탁회계기간 초일부터 신탁계약의 해지일까지"
과세유형,비과세
분배금 지급일,"매 1월,4월,7월,10월의 마지막영업일 및 투자신탁 회계기간 종료일 (종료일이 영업일이 아닐 경우 그 직전 영업일)"
홈페이지,www.hi-am.com
www.hi-am.com,www.hi-am.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (전략) / (-) (전략테마) / (-)
기본 정보,"- 이 투자신탁은 국내주식을 법시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하여, ESG Leaders 150 지수(한국거래소가 산출하여 발표하는 “KRX ESG Leaders 150 Index”를 말하며, 이하 기초지수라 합니다.)를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목적으로 합니다. - “KRX ESG Leaders 150 지수”는 유가증권 및 코스닥시장 상장종목 중에서 “한국기업지배구조원”의 ESG평가기준에 따라 우수종목으로 평가된 150개 종목을 구성종목으로 하여 2015년 12월 21일부터 발표하고 있습니다. 지수산출은 ESG 통합점수가 높은 순서로 편입비중이 결정되는 ESG통합점수 가중방식을 채택하고 있습니다."
투자유의사항,"- 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. - 이 투자신탁은 추적대상 지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 일시적인 가격 변동, 투자신탁보수, 위탁매매수수료, 지수 사용료, 상장수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 추적대상 지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상장규정에 따라 상장폐지가 필요하다고 인정되는 경우 상장이 폐지될 수 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.hi-am.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
